"","T_MAPCODE","deg80","nat","notnat","prcdeg_step","prplost","D3_step","ext_step"
"332","SKr16",0,432.3524,0.5096,0,0.00117728051896447,"LC",0
"333","SKr17",0,259.6644,1.0772,0,0.00413129320369285,"LC",0
"334","SKr18",0,812.3356,5.456,0,0.00667162636544567,"LC",0
"335","SKr19",0,367.7724,4.258,0,0.0114453012441994,"LC",0
"336","SKr2",0,191.3292,0.78,0,0.00406019076650155,"LC",0
"337","SKr3",0,170.7372,0.0368,0,0.000215489477320904,"LC",0
"338","SKr4",0,827.1728,9.0688,0,0.0108447128198358,"LC",0
"339","SKr5",0,18.3648,0,0,0,"LC",0
"340","SKr6",0,65.816,0.0496,0,0.000753048632366516,"LC",0
"341","SKr7",0,326.5408,0.5948,0,0.00181820627287278,"LC",0
"342","SKr8",0,50.506,0.0472,0,0.000933669876486553,"LC",0
"343","SKr9",0,3.2648,0,0,0,"LC",0
"344","SKs1",0,311.0264,197.0584,0,0.38784549350817,"LC",0
"345","SKs10",0,133.974,2.4276,0,0.0177974451912588,"LC",0
"346","SKs11",0,286.7176,0.294,0,0.00102434884164961,"LC",0
"347","SKs12",0,423.5296,46.386,0,0.0987113430582002,"LC",0
"348","SKs13",0,108.262,92.8492,0,0.461680900914519,"LC",0
"349","SKs14",0,644.0752,194.8936,0,0.232301368060409,"LC",0
"350","SKs2",0,524.7896,11.2656,0,0.0210157461395767,"LC",0
"351","SKs3",0,302.592,28.798,0,0.086900630676846,"LC",0
"352","SKs4",0,441.4456,7.6212,0,0.0169711944859874,"LC",0
"353","SKs5",0,565.6916,0.4152,0,0.000733430511698499,"LC",0
"354","SKs6",0,122.776,0.5108,0,0.00414318483406172,"LC",0
"355","SKs7",0,2539.8468,611.8636,0,0.194136999389284,"LC",0
"356","SKs8",0,727.32,140.742,0,0.1621335803203,"LC",0
"357","SKs9",0,884.7328,32.7064,0,0.0356496648497252,"LC",0
"358","SKt1",0,101.3124,0.4488,0,0.00441032534993691,"LC",0
"359","SKt2",0,7313.084,319.4884,0,0.0418585482399093,"LC",0
"360","SKt3",0,5222.6276,135.3452,0,0.0252605239056085,"LC",0
"361","SKv1",0,447.9144,92.816,0,0.171649309896392,"LC",0
"362","SKv10",0,238.098,2.0808,0,0.00866354565848443,"LC",0.492514743182995
"363","SKv11",0.0652,1578.39,4e-04,0,2.53412259426239e-07,"LC",1
"364","SKv13",0.4668,2554.7232,4e-04,0,1.5654410724148e-07,"LC",1
"365","SKv14",2.7252,790.6116,0.004,0,5.04196935289349e-06,"LC",1
"366","SKv2",0,557.1144,2.258,0,0.00403666680730047,"LC",0
"367","SKv3",0,902.9348,25.6464,0,0.0276189093640922,"LC",0
"368","SKv4",0,1313.6312,4.7448,0,0.00359897328228062,"LC",0
"369","SKv5",0,6923.8508,64.36,0,0.0092097965905665,"LC",0
