"","nlc2022_7class","T_MAPCODE","PROVINCE","n"
"383","5","AZd4","Eastern Cape",0
"384","6","AZd4","Eastern Cape",3
"385","7","AZd4","Eastern Cape",2
"386","1","AZi1","Eastern Cape",0
"387","2","AZi1","Eastern Cape",0
"388","3","AZi1","Eastern Cape",0
"389","4","AZi1","Eastern Cape",0
"390","5","AZi1","Eastern Cape",0
"391","6","AZi1","Eastern Cape",0
"392","7","AZi1","Eastern Cape",0
"393","1","AZi3","Eastern Cape",0
"394","2","AZi3","Eastern Cape",0
"395","3","AZi3","Eastern Cape",0
"396","4","AZi3","Eastern Cape",0
"397","5","AZi3","Eastern Cape",0
"398","6","AZi3","Eastern Cape",0
"399","7","AZi3","Eastern Cape",0
"400","1","AZi5","Eastern Cape",0
"401","2","AZi5","Eastern Cape",0
"402","3","AZi5","Eastern Cape",0
"403","4","AZi5","Eastern Cape",0
"404","5","AZi5","Eastern Cape",0
"405","6","AZi5","Eastern Cape",0
"406","7","AZi5","Eastern Cape",0
"407","1","AZi6","Eastern Cape",6342730
"408","2","AZi6","Eastern Cape",448630
"409","3","AZi6","Eastern Cape",64655
"410","4","AZi6","Eastern Cape",94812
"411","5","AZi6","Eastern Cape",964894
"412","6","AZi6","Eastern Cape",2166
"413","7","AZi6","Eastern Cape",9060
"414","1","AZi7","Eastern Cape",0
"415","2","AZi7","Eastern Cape",0
"416","3","AZi7","Eastern Cape",0
"417","4","AZi7","Eastern Cape",0
"418","5","AZi7","Eastern Cape",0
"419","6","AZi7","Eastern Cape",0
"420","7","AZi7","Eastern Cape",0
"421","1","AZi8","Eastern Cape",0
"422","2","AZi8","Eastern Cape",0
"423","3","AZi8","Eastern Cape",0
"424","4","AZi8","Eastern Cape",0
"425","5","AZi8","Eastern Cape",0
"426","6","AZi8","Eastern Cape",0
"427","7","AZi8","Eastern Cape",0
"428","1","AZs3","Eastern Cape",496
"429","2","AZs3","Eastern Cape",74
"430","3","AZs3","Eastern Cape",2
"431","4","AZs3","Eastern Cape",341
"432","5","AZs3","Eastern Cape",0
"433","6","AZs3","Eastern Cape",0
"434","7","AZs3","Eastern Cape",0
"435","1","CB1","Eastern Cape",0
"436","2","CB1","Eastern Cape",0
"437","3","CB1","Eastern Cape",0
"438","4","CB1","Eastern Cape",0
"439","5","CB1","Eastern Cape",0
"440","6","CB1","Eastern Cape",0
"441","7","CB1","Eastern Cape",0
"442","1","CB2","Eastern Cape",0
"443","2","CB2","Eastern Cape",0
"444","3","CB2","Eastern Cape",0
"445","4","CB2","Eastern Cape",0
"446","5","CB2","Eastern Cape",0
"447","6","CB2","Eastern Cape",0
"448","7","CB2","Eastern Cape",0
"449","1","CB3","Eastern Cape",0
"450","2","CB3","Eastern Cape",0
"451","3","CB3","Eastern Cape",0
"452","4","CB3","Eastern Cape",0
"453","5","CB3","Eastern Cape",0
"454","6","CB3","Eastern Cape",0
"455","7","CB3","Eastern Cape",0
"456","1","CB4","Eastern Cape",1353270
"457","2","CB4","Eastern Cape",382313
"458","3","CB4","Eastern Cape",192
"459","4","CB4","Eastern Cape",150830
"460","5","CB4","Eastern Cape",242306
"461","6","CB4","Eastern Cape",3703
"462","7","CB4","Eastern Cape",181711
"463","1","CB5","Eastern Cape",2248017
"464","2","CB5","Eastern Cape",630462
"465","3","CB5","Eastern Cape",915
"466","4","CB5","Eastern Cape",873690
"467","5","CB5","Eastern Cape",337515
"468","6","CB5","Eastern Cape",1107
"469","7","CB5","Eastern Cape",34193
"470","1","CB6","Eastern Cape",0
"471","2","CB6","Eastern Cape",0
"472","3","CB6","Eastern Cape",0
"473","4","CB6","Eastern Cape",0
"474","5","CB6","Eastern Cape",0
"475","6","CB6","Eastern Cape",0
"476","7","CB6","Eastern Cape",0
"477","1","Dg1","Eastern Cape",0
"478","2","Dg1","Eastern Cape",0
"479","3","Dg1","Eastern Cape",0
"480","4","Dg1","Eastern Cape",0
"481","5","Dg1","Eastern Cape",0
