"","T_MAPCODE","nat","notnat","prclost_alt","A3","ext_wc","ext_kzn","ext_mpl"
"222","Gd1",4203.0248,823.9112,16,"LC",0,0,0
"223","Gd10",2754.4956,76.3016,3,"LC",0,0.0222677908541099,0
"224","Gd2",153.5728,4.7612,3,"LC",0,0,0
"225","Gd3",2409.2996,556.96,19,"LC",0,0,0
"226","Gd4",5976.1484,670.8824,10,"LC",0,0.13528963939809,0
"227","Gd5",1110.9792,126.6552,10,"LC",0,0.571263694674292,0
"228","Gd6",21.4468,0.1836,1,"LC",0,0.659775131296694,0
"229","Gd7",1339.7832,7.1116,1,"LC",0,0.893160178508374,0
"230","Gd8",17292.558,2876.7644,14,"LC",0,0.00055730181594995,0
"231","Gd9",1856.2032,352.1276,16,"LC",0,0,0
"232","Gh1",8140.856,229.7992,3,"LC",0.0202646502510341,0,0
"233","Gh10",5815.3764,20150.2328,78,"EN",0,0,0
"234","Gh11",417.106,506.456,55,"EN",0,0,0
"235","Gh12",221.212,108.2732,33,"LC",0,0,0
"236","Gh13",2123.5948,1642.6328,44,"LC",0,0,0
"237","Gh14",3675.1248,5512.3316,60,"EN",0,0,0
"238","Gh15",5469.1712,3129.2544,36,"LC",0,0,0
"239","Gh2",5659.9492,1503.2332,21,"LC",0,0,0
"240","Gh3",12356.7924,1035.6428,8,"LC",0,0,0
"241","Gh4",9249.8548,428.0028,4,"LC",4.2571405473046e-06,0,0
"242","Gh5",2576.92,2372.7276,48,"LC",0,0,0
"243","Gh6",10487.3024,5525.6544,35,"LC",0,0,0
"244","Gh7",1286.362,285.6308,18,"LC",0,0,0
"245","Gh8",66.1596,14.3112,18,"LC",0,0,0
"246","Gh9",5307.3764,1766.9788,25,"LC",0,0,0
"247","Gm1",2813.0948,1455.0672,34,"LC",0,0,0
"248","Gm10",183.3256,909.8424,83,"EN",0,0,0
"249","Gm11",4874.7004,5634.298,54,"EN",0,0,0.357270165727687
"250","Gm12",6094.8772,6677.4892,52,"EN",0,0,0.971630754344786
"251","Gm13",2478.5436,1448.5176,37,"LC",0,0.0374929731168946,0.718185904513024
"252","Gm14",3176.9048,573.59,15,"LC",0,0.374798546581107,0.625201453418893
"253","Gm15",2283.9648,1932.8168,46,"LC",0,0.693918603704778,0.306081396295222
"254","Gm16",6188.3588,3465.9384,36,"LC",0,0.00856045740957716,0.625776301976699
"255","Gm17",888.7276,402.61,31,"LC",0,0,0.842059892006552
"256","Gm19",998.42,382.4444,28,"LC",0,0,0.600564689769683
"257","Gm2",2818.7636,918.0992,25,"LC",0,0,0
"258","Gm20",18.376,1.9624,10,"LC",0,0,0
"259","Gm21",1323.7132,227.3416,15,"LC",0,0,0.684606114497051
"260","Gm22",474.1484,465.0644,50,"EN",0,0,0.974721809583515
