"","nlc2022_7class","T_MAPCODE","coct_cond10","n"
"12707","2","SVk4","8",0
"12708","3","SVk4","8",0
"12709","4","SVk4","8",0
"12710","5","SVk4","8",0
"12711","6","SVk4","8",0
"12712","7","SVk4","8",0
"12713","1","SVk5","8",0
"12714","2","SVk5","8",0
"12715","3","SVk5","8",0
"12716","4","SVk5","8",0
"12717","5","SVk5","8",0
"12718","6","SVk5","8",0
"12719","7","SVk5","8",0
"12720","1","SVk6","8",0
"12721","2","SVk6","8",0
"12722","3","SVk6","8",0
"12723","4","SVk6","8",0
"12724","5","SVk6","8",0
"12725","6","SVk6","8",0
"12726","7","SVk6","8",0
"12727","1","SVk7","8",0
"12728","2","SVk7","8",0
"12729","3","SVk7","8",0
"12730","4","SVk7","8",0
"12731","5","SVk7","8",0
"12732","6","SVk7","8",0
"12733","7","SVk7","8",0
"12734","1","SVk8","8",0
"12735","2","SVk8","8",0
"12736","3","SVk8","8",0
"12737","4","SVk8","8",0
"12738","5","SVk8","8",0
"12739","6","SVk8","8",0
"12740","7","SVk8","8",0
"12741","1","SVk9","8",0
"12742","2","SVk9","8",0
"12743","3","SVk9","8",0
"12744","4","SVk9","8",0
"12745","5","SVk9","8",0
"12746","6","SVk9","8",0
"12747","7","SVk9","8",0
"12748","1","SVkd1","8",0
"12749","2","SVkd1","8",0
"12750","3","SVkd1","8",0
"12751","4","SVkd1","8",0
"12752","5","SVkd1","8",0
"12753","6","SVkd1","8",0
"12754","7","SVkd1","8",0
"12755","1","SVkd2","8",0
"12756","2","SVkd2","8",0
"12757","3","SVkd2","8",0
"12758","4","SVkd2","8",0
"12759","5","SVkd2","8",0
"12760","6","SVkd2","8",0
"12761","7","SVkd2","8",0
"12762","1","SVkd3","8",0
"12763","2","SVkd3","8",0
"12764","3","SVkd3","8",0
"12765","4","SVkd3","8",0
"12766","5","SVkd3","8",0
"12767","6","SVkd3","8",0
"12768","7","SVkd3","8",0
"12769","1","SVkd4","8",0
"12770","2","SVkd4","8",0
"12771","3","SVkd4","8",0
"12772","4","SVkd4","8",0
"12773","5","SVkd4","8",0
"12774","6","SVkd4","8",0
"12775","7","SVkd4","8",0
"12776","1","SVl1","8",0
"12777","2","SVl1","8",0
"12778","3","SVl1","8",0
"12779","4","SVl1","8",0
"12780","5","SVl1","8",0
"12781","6","SVl1","8",0
"12782","7","SVl1","8",0
"12783","1","SVl10","8",0
"12784","2","SVl10","8",0
"12785","3","SVl10","8",0
"12786","4","SVl10","8",0
"12787","5","SVl10","8",0
"12788","6","SVl10","8",0
"12789","7","SVl10","8",0
"12790","1","SVl11","8",0
"12791","2","SVl11","8",0
"12792","3","SVl11","8",0
"12793","4","SVl11","8",0
"12794","5","SVl11","8",0
"12795","6","SVl11","8",0
"12796","7","SVl11","8",0
"12797","1","SVl12","8",0
"12798","2","SVl12","8",0
"12799","3","SVl12","8",0
"12800","4","SVl12","8",0
"12801","5","SVl12","8",0
"12802","6","SVl12","8",0
"12803","7","SVl12","8",0
"12804","1","SVl13","8",0
"12805","2","SVl13","8",0
"12806","3","SVl13","8",0
"12807","4","SVl13","8",0
"12808","5","SVl13","8",0
"12809","6","SVl13","8",0
"12810","7","SVl13","8",0
"12811","1","SVl14","8",0
"12812","2","SVl14","8",0
"12813","3","SVl14","8",0
"12814","4","SVl14","8",0
"12815","5","SVl14","8",0
"12816","6","SVl14","8",0
"12817","7","SVl14","8",0
"12818","1","SVl15","8",0
"12819","2","SVl15","8",0
"12820","3","SVl15","8",0
"12821","4","SVl15","8",0
"12822","5","SVl15","8",0
"12823","6","SVl15","8",0
"12824","7","SVl15","8",0
"12825","1","SVl16","8",0
"12826","2","SVl16","8",0
"12827","3","SVl16","8",0
"12828","4","SVl16","8",0
"12829","5","SVl16","8",0
"12830","6","SVl16","8",0
"12831","7","SVl16","8",0
"12832","1","SVl17","8",0
"12833","2","SVl17","8",0
"12834","3","SVl17","8",0
"12835","4","SVl17","8",0
"12836","5","SVl17","8",0
"12837","6","SVl17","8",0
"12838","7","SVl17","8",0
"12839","1","SVl18","8",0
"12840","2","SVl18","8",0
"12841","3","SVl18","8",0
"12842","4","SVl18","8",0
"12843","5","SVl18","8",0
"12844","6","SVl18","8",0
"12845","7","SVl18","8",0
"12846","1","SVl19","8",0
"12847","2","SVl19","8",0
"12848","3","SVl19","8",0
"12849","4","SVl19","8",0
"12850","5","SVl19","8",0
"12851","6","SVl19","8",0
"12852","7","SVl19","8",0
"12853","1","SVl2","8",0
"12854","2","SVl2","8",0
"12855","3","SVl2","8",0
"12856","4","SVl2","8",0
"12857","5","SVl2","8",0
"12858","6","SVl2","8",0
"12859","7","SVl2","8",0
"12860","1","SVl20","8",0
"12861","2","SVl20","8",0
"12862","3","SVl20","8",0
"12863","4","SVl20","8",0
"12864","5","SVl20","8",0
"12865","6","SVl20","8",0
"12866","7","SVl20","8",0
"12867","1","SVl21","8",0
"12868","2","SVl21","8",0
"12869","3","SVl21","8",0
"12870","4","SVl21","8",0
"12871","5","SVl21","8",0
"12872","6","SVl21","8",0
"12873","7","SVl21","8",0
"12874","1","SVl22","8",0
"12875","2","SVl22","8",0
"12876","3","SVl22","8",0
"12877","4","SVl22","8",0
"12878","5","SVl22","8",0
"12879","6","SVl22","8",0
"12880","7","SVl22","8",0
"12881","1","SVl23","8",0
"12882","2","SVl23","8",0
"12883","3","SVl23","8",0
"12884","4","SVl23","8",0
"12885","5","SVl23","8",0
"12886","6","SVl23","8",0
"12887","7","SVl23","8",0
"12888","1","SVl24","8",0
"12889","2","SVl24","8",0
"12890","3","SVl24","8",0
"12891","4","SVl24","8",0
"12892","5","SVl24","8",0
"12893","6","SVl24","8",0
"12894","7","SVl24","8",0
"12895","1","SVl25","8",0
"12896","2","SVl25","8",0
"12897","3","SVl25","8",0
"12898","4","SVl25","8",0
"12899","5","SVl25","8",0
"12900","6","SVl25","8",0
"12901","7","SVl25","8",0
"12902","1","SVl26","8",0
"12903","2","SVl26","8",0
"12904","3","SVl26","8",0
"12905","4","SVl26","8",0
"12906","5","SVl26","8",0
"12907","6","SVl26","8",0
"12908","7","SVl26","8",0
"12909","1","SVl27","8",0
"12910","2","SVl27","8",0
"12911","3","SVl27","8",0
"12912","4","SVl27","8",0
"12913","5","SVl27","8",0
"12914","6","SVl27","8",0
"12915","7","SVl27","8",0
"12916","1","SVl3","8",0
"12917","2","SVl3","8",0
"12918","3","SVl3","8",0
"12919","4","SVl3","8",0
"12920","5","SVl3","8",0
"12921","6","SVl3","8",0
"12922","7","SVl3","8",0
"12923","1","SVl4","8",0
"12924","2","SVl4","8",0
"12925","3","SVl4","8",0
"12926","4","SVl4","8",0
"12927","5","SVl4","8",0
"12928","6","SVl4","8",0
"12929","7","SVl4","8",0
"12930","1","SVl5","8",0
"12931","2","SVl5","8",0
"12932","3","SVl5","8",0
"12933","4","SVl5","8",0
"12934","5","SVl5","8",0
"12935","6","SVl5","8",0
"12936","7","SVl5","8",0
"12937","1","SVl6","8",0
"12938","2","SVl6","8",0
"12939","3","SVl6","8",0
"12940","4","SVl6","8",0
"12941","5","SVl6","8",0
"12942","6","SVl6","8",0
"12943","7","SVl6","8",0
"12944","1","SVl7","8",0
"12945","2","SVl7","8",0
"12946","3","SVl7","8",0
"12947","4","SVl7","8",0
"12948","5","SVl7","8",0
"12949","6","SVl7","8",0
"12950","7","SVl7","8",0
"12951","1","SVl8","8",0
"12952","2","SVl8","8",0
"12953","3","SVl8","8",0
"12954","4","SVl8","8",0
"12955","5","SVl8","8",0
"12956","6","SVl8","8",0
"12957","7","SVl8","8",0
"12958","1","SVl9","8",0
"12959","2","SVl9","8",0
"12960","3","SVl9","8",0
"12961","4","SVl9","8",0
"12962","5","SVl9","8",0
"12963","6","SVl9","8",0
"12964","7","SVl9","8",0
"12965","1","SVmp1","8",0
"12966","2","SVmp1","8",0
"12967","3","SVmp1","8",0
"12968","4","SVmp1","8",0
"12969","5","SVmp1","8",0
"12970","6","SVmp1","8",0
"12971","7","SVmp1","8",0
"12972","1","SVmp2","8",0
"12973","2","SVmp2","8",0
