"","T_MAPCODE","deg80","nat","notnat","prcdeg_lk","D3_lk","ext_lk"
"254","Gm16",0,5329.204,4325.0932,0,"LC",0
"255","Gm17",0,805.0664,486.2712,0,"LC",0
"256","Gm19",0,847.2532,533.6112,0,"LC",0
"257","Gm2",0,2818.7636,918.0992,0,"LC",0
"258","Gm20",0,18.376,1.9624,0,"LC",0
"259","Gm21",0,1192.7056,358.3492,0,"LC",0
"260","Gm22",0,352.1648,587.048,0,"LC",0
"261","Gm23",0,759.6496,614.2456,0,"LC",0
"262","Gm24",0,9.3376,0.6708,0,"LC",0
"263","Gm25",0,103.7604,326.8628,0,"LC",0
"264","Gm26",0,242.3812,18.2572,0,"LC",0
"265","Gm27",0,261.1268,6.9264,0,"LC",0
"266","Gm28",0,91.4932,2.3596,0,"LC",0
"267","Gm29",0,502.7916,20.4952,0,"LC",0
"268","Gm3",0,6008.6756,9055.1968,0,"LC",0
"269","Gm30",0,2611.5092,1247.1996,0,"LC",0
"270","Gm31",0,536.3256,511.8464,0,"LC",0
"271","Gm4",0,7447.9924,6806.6384,0,"LC",0
"272","Gm5",0,2462.5512,1007.1788,0,"LC",0
"273","Gm6",0,5464.8292,4426.7612,0,"LC",0
"274","Gm7",0,27.6068,2.4228,0,"LC",0
"275","Gm8",0,5504.0696,8988.8264,0,"LC",0
"276","Gm9",0,435.8144,877.4632,0,"LC",0
"277","Gs1",0,281.5548,257.6856,0,"LC",0
"278","Gs10",0,7577.0936,3367.6108,0,"LC",0
"279","Gs11",0,1020.964,1321.208,0,"LC",0
"280","Gs12",0,4697.2748,4030.8136,0,"LC",0
"281","Gs13",0,148.3528,344.6148,0,"LC",0
"282","Gs14",0,2135.4972,3146.2028,0,"LC",0
"283","Gs15",0,3707.5092,2429.7748,0,"LC",0
"284","Gs16",0,2980.112,626.1892,0,"LC",0
"285","Gs17",0,4171.0516,71.1176,0,"LC",0
"286","Gs18",0,1407.4284,26.5184,0,"LC",0
"287","Gs19",0,1333.9312,1690.3196,0,"LC",0
"288","Gs2",0,1242.75,302.7328,0,"LC",0
"289","Gs20",0,2257.792,4022.7868,0,"LC",0
"290","Gs3",0,1563.8496,178.416,0,"LC",0
"291","Gs4",0,4243.1248,3197.3292,0,"LC",0
"292","Gs6",0,3303.6952,1923.7868,0,"LC",0
"293","Gs7",0,2366.7492,2286.8296,0,"LC",0
"294","Gs8",0,1664.38,1198.1032,0,"LC",0
"295","Gs9",0,2019.8776,4952.2484,0,"LC",0
"296","NKb1",0,4637.4612,33.6816,0,"LC",0
"297","NKb2",0,601.3572,6.082,0,"LC",0
"298","NKb3",0,40920.3304,333.1364,0,"LC",0
"299","NKb4",0,2670.1444,6.884,0,"LC",0
"300","NKb5",0,8543.4136,95.428,0,"LC",0
"301","NKb6",0,40910.1948,340.468,0,"LC",0
"302","NKl1",0,20075.06,130.9896,0,"LC",0
"303","NKl2",0,8164.5512,156.8952,0,"LC",0
"304","NKl4",0,683.2968,59.4592,0,"LC",0
"305","NKu1",0,16965.3352,184.1892,0,"LC",0
"306","NKu2",0,11706.6144,27.6836,0,"LC",0
"307","NKu3",0,40004.702,2268.9464,0,"LC",0
"308","NKu4",0,48084.77,1749.5932,0,"LC",0
"309","SKk1",0,1666.8312,6.924,0,"LC",0
"310","SKk2",0,129.1176,0.7656,0,"LC",0
"311","SKk3",0,1298.7536,22.1316,0,"LC",0
"312","SKk4",0,979.3184,4.2068,0,"LC",0
"313","SKk5",0,829.0612,159.5212,0,"LC",0
"314","SKk6",0,57.0744,2.7696,0,"LC",0
"315","SKk7",0,130.8808,54.3164,0,"LC",0
"316","SKk8",0,0.628,2.2292,0,"LC",0
"317","SKk9",0,140.242,2.5472,0,"LC",0
"318","SKn1",0,7341.7732,240.4844,0,"LC",0
"319","SKn2",0,534.1996,5.1372,0,"LC",0
"320","SKn3",0,2891.1736,216.8212,0,"LC",0
"321","SKn4",0,4581.4516,459.1436,0,"LC",0
"322","SKn5",0,650.5372,2.8068,0,"LC",0
"323","SKn6",0,391.4196,5.3704,0,"LC",0
"324","SKn7",0,907.7124,89.412,0,"LC",0
"325","SKr1",0,1199.6944,0.6692,0,"LC",0
"326","SKr10",0,127.1448,0.4268,0,"LC",0
"327","SKr11",0,128.1284,1.148,0,"LC",0
"328","SKr12",0,611.8832,0.2532,0,"LC",0
"329","SKr13",0,721.824,0.8436,0,"LC",0
"330","SKr14",0,365.2156,0.35,0,"LC",0
"331","SKr15",0,200.2984,41.4816,0,"LC",0
"332","SKr16",0,432.3524,0.5096,0,"LC",0
"333","SKr17",0,259.6644,1.0772,0,"LC",0
"334","SKr18",0,812.3356,5.456,0,"LC",0
"335","SKr19",0,367.7724,4.258,0,"LC",0
"336","SKr2",0,191.3292,0.78,0,"LC",0
"337","SKr3",0,170.7372,0.0368,0,"LC",0
"338","SKr4",0,827.1728,9.0688,0,"LC",0
"339","SKr5",0,18.3648,0,0,"LC",0
"340","SKr6",0,65.816,0.0496,0,"LC",0
"341","SKr7",0,326.5408,0.5948,0,"LC",0
"342","SKr8",0,50.506,0.0472,0,"LC",0
"343","SKr9",0,3.2648,0,0,"LC",0
"344","SKs1",0,311.0264,197.0584,0,"LC",0
"345","SKs10",0,133.974,2.4276,0,"LC",0
"346","SKs11",0,286.7176,0.294,0,"LC",0
"347","SKs12",0,423.5296,46.386,0,"LC",0
"348","SKs13",0,108.262,92.8492,0,"LC",0
"349","SKs14",0,644.0752,194.8936,0,"LC",0
"350","SKs2",0,524.7896,11.2656,0,"LC",0
"351","SKs3",0,302.592,28.798,0,"LC",0
"352","SKs4",0,441.4456,7.6212,0,"LC",0
"353","SKs5",0,565.6916,0.4152,0,"LC",0
