"","nlc2022_7class","T_MAPCODE","littlekaroo_deg2","easternlittlekaroo_deg2","n"
"462","7","CB4","0","0",0
"463","1","CB5","0","0",0
"464","2","CB5","0","0",0
"465","3","CB5","0","0",0
"466","4","CB5","0","0",0
"467","5","CB5","0","0",0
"468","6","CB5","0","0",0
"469","7","CB5","0","0",0
"470","1","CB6","0","0",0
"471","2","CB6","0","0",0
"472","3","CB6","0","0",0
"473","4","CB6","0","0",0
"474","5","CB6","0","0",0
"475","6","CB6","0","0",0
"476","7","CB6","0","0",0
"477","1","Dg1","0","0",0
"478","2","Dg1","0","0",0
"479","3","Dg1","0","0",0
"480","4","Dg1","0","0",0
"481","5","Dg1","0","0",0
"482","6","Dg1","0","0",0
"483","7","Dg1","0","0",0
"484","1","Dg10","0","0",0
"485","2","Dg10","0","0",0
"486","3","Dg10","0","0",0
"487","4","Dg10","0","0",0
"488","5","Dg10","0","0",0
"489","6","Dg10","0","0",0
"490","7","Dg10","0","0",0
"491","1","Dg2","0","0",0
"492","2","Dg2","0","0",0
"493","3","Dg2","0","0",0
"494","4","Dg2","0","0",0
"495","5","Dg2","0","0",0
"496","6","Dg2","0","0",0
"497","7","Dg2","0","0",0
"498","1","Dg3","0","0",0
"499","2","Dg3","0","0",0
"500","3","Dg3","0","0",0
"501","4","Dg3","0","0",0
"502","5","Dg3","0","0",0
"503","6","Dg3","0","0",0
"504","7","Dg3","0","0",0
"505","1","Dg4","0","0",0
"506","2","Dg4","0","0",0
"507","3","Dg4","0","0",0
"508","4","Dg4","0","0",0
"509","5","Dg4","0","0",0
"510","6","Dg4","0","0",0
"511","7","Dg4","0","0",0
"512","1","Dg5","0","0",0
"513","2","Dg5","0","0",0
"514","3","Dg5","0","0",0
"515","4","Dg5","0","0",0
"516","5","Dg5","0","0",0
"517","6","Dg5","0","0",0
"518","7","Dg5","0","0",0
"519","1","Dg6","0","0",0
"520","2","Dg6","0","0",0
"521","3","Dg6","0","0",0
"522","4","Dg6","0","0",0
"523","5","Dg6","0","0",0
"524","6","Dg6","0","0",0
"525","7","Dg6","0","0",0
"526","1","Dg7","0","0",0
"527","2","Dg7","0","0",0
"528","3","Dg7","0","0",0
"529","4","Dg7","0","0",0
"530","5","Dg7","0","0",0
"531","6","Dg7","0","0",0
"532","7","Dg7","0","0",0
"533","1","Dg8","0","0",0
"534","2","Dg8","0","0",0
"535","3","Dg8","0","0",0
"536","4","Dg8","0","0",0
"537","5","Dg8","0","0",0
"538","6","Dg8","0","0",0
"539","7","Dg8","0","0",0
"540","1","Dg9","0","0",0
"541","2","Dg9","0","0",0
"542","3","Dg9","0","0",0
"543","4","Dg9","0","0",0
"544","5","Dg9","0","0",0
"545","6","Dg9","0","0",0
"546","7","Dg9","0","0",0
"547","1","Dn1","0","0",0
"548","2","Dn1","0","0",0
"549","3","Dn1","0","0",0
"550","4","Dn1","0","0",0
"551","5","Dn1","0","0",0
"552","6","Dn1","0","0",0
"553","7","Dn1","0","0",0
"554","1","Dn2","0","0",0
"555","2","Dn2","0","0",0
"556","3","Dn2","0","0",0
"557","4","Dn2","0","0",0
"558","5","Dn2","0","0",0
"559","6","Dn2","0","0",0
"560","7","Dn2","0","0",0
"561","1","Dn3","0","0",0
"562","2","Dn3","0","0",0
"563","3","Dn3","0","0",0
"564","4","Dn3","0","0",0
"565","5","Dn3","0","0",0
"566","6","Dn3","0","0",0
"567","7","Dn3","0","0",0
"568","1","Dn4","0","0",0
"569","2","Dn4","0","0",0
"570","3","Dn4","0","0",0
"571","4","Dn4","0","0",0
"572","5","Dn4","0","0",0
"573","6","Dn4","0","0",0
"574","7","Dn4","0","0",0
"575","1","Dn5","0","0",0
"576","2","Dn5","0","0",0
"577","3","Dn5","0","0",0
"578","4","Dn5","0","0",0
"579","5","Dn5","0","0",0
"580","6","Dn5","0","0",0
"581","7","Dn5","0","0",0
"582","1","FFa1","0","0",0
"583","2","FFa1","0","0",0
"584","3","FFa1","0","0",0
"585","4","FFa1","0","0",0
"586","5","FFa1","0","0",0
"587","6","FFa1","0","0",0
"588","7","FFa1","0","0",0
"589","1","FFa2","0","0",0
"590","2","FFa2","0","0",0
"591","3","FFa2","0","0",0
"592","4","FFa2","0","0",0
"593","5","FFa2","0","0",0
"594","6","FFa2","0","0",0
"595","7","FFa2","0","0",0
"596","1","FFa3","0","0",0
"597","2","FFa3","0","0",0
"598","3","FFa3","0","0",0
"599","4","FFa3","0","0",0
"600","5","FFa3","0","0",0
"601","6","FFa3","0","0",0
"602","7","FFa3","0","0",0
"603","1","FFa4","0","0",0
"604","2","FFa4","0","0",0
"605","3","FFa4","0","0",0
"606","4","FFa4","0","0",0
"607","5","FFa4","0","0",0
"608","6","FFa4","0","0",0
"609","7","FFa4","0","0",0
"610","1","FFb1","0","0",0
"611","2","FFb1","0","0",0
"612","3","FFb1","0","0",0
"613","4","FFb1","0","0",0
"614","5","FFb1","0","0",0
"615","6","FFb1","0","0",0
"616","7","FFb1","0","0",0
"617","1","FFb2","0","0",0
"618","2","FFb2","0","0",0
"619","3","FFb2","0","0",0
"620","4","FFb2","0","0",0
"621","5","FFb2","0","0",0
"622","6","FFb2","0","0",0
"623","7","FFb2","0","0",0
"624","1","FFb3","0","0",0
"625","2","FFb3","0","0",0
"626","3","FFb3","0","0",0
"627","4","FFb3","0","0",0
"628","5","FFb3","0","0",0
"629","6","FFb3","0","0",0
"630","7","FFb3","0","0",0
"631","1","FFb4","0","0",0
"632","2","FFb4","0","0",0
"633","3","FFb4","0","0",0
"634","4","FFb4","0","0",0
"635","5","FFb4","0","0",0
"636","6","FFb4","0","0",0
"637","7","FFb4","0","0",0
"638","1","FFb5","0","0",0
"639","2","FFb5","0","0",0
"640","3","FFb5","0","0",0
"641","4","FFb5","0","0",0
"642","5","FFb5","0","0",0
"643","6","FFb5","0","0",0
"644","7","FFb5","0","0",0
"645","1","FFb6","0","0",0
"646","2","FFb6","0","0",0
"647","3","FFb6","0","0",0
"648","4","FFb6","0","0",0
"649","5","FFb6","0","0",0
"650","6","FFb6","0","0",0
"651","7","FFb6","0","0",0
"652","1","FFc1","0","0",0
"653","2","FFc1","0","0",0
"654","3","FFc1","0","0",0
"655","4","FFc1","0","0",0
"656","5","FFc1","0","0",0
"657","6","FFc1","0","0",0
"658","7","FFc1","0","0",0
"659","1","FFd1","0","0",0
"660","2","FFd1","0","0",0
"661","3","FFd1","0","0",0
"662","4","FFd1","0","0",0
"663","5","FFd1","0","0",0
"664","6","FFd1","0","0",0
"665","7","FFd1","0","0",0
"666","1","FFd10","0","0",0
"667","2","FFd10","0","0",0
"668","3","FFd10","0","0",0
"669","4","FFd10","0","0",0
"670","5","FFd10","0","0",0
"671","6","FFd10","0","0",0
"672","7","FFd10","0","0",0
"673","1","FFd11","0","0",0
"674","2","FFd11","0","0",0
"675","3","FFd11","0","0",0
"676","4","FFd11","0","0",0
"677","5","FFd11","0","0",0
"678","6","FFd11","0","0",0
"679","7","FFd11","0","0",0
"680","1","FFd2","0","0",0
"681","2","FFd2","0","0",0
"682","3","FFd2","0","0",0
"683","4","FFd2","0","0",0
"684","5","FFd2","0","0",0
"685","6","FFd2","0","0",0
"686","7","FFd2","0","0",0
"687","1","FFd3","0","0",0
"688","2","FFd3","0","0",0
"689","3","FFd3","0","0",0
"690","4","FFd3","0","0",0
"691","5","FFd3","0","0",0
"692","6","FFd3","0","0",0
"693","7","FFd3","0","0",0
"694","1","FFd4","0","0",0
"695","2","FFd4","0","0",0
"696","3","FFd4","0","0",0
"697","4","FFd4","0","0",0
"698","5","FFd4","0","0",0
"699","6","FFd4","0","0",0
"700","7","FFd4","0","0",0
"701","1","FFd5","0","0",0
"702","2","FFd5","0","0",0
"703","3","FFd5","0","0",0
"704","4","FFd5","0","0",0
"705","5","FFd5","0","0",0
"706","6","FFd5","0","0",0
"707","7","FFd5","0","0",0
"708","1","FFd6","0","0",0
"709","2","FFd6","0","0",0
"710","3","FFd6","0","0",0
"711","4","FFd6","0","0",0
"712","5","FFd6","0","0",0
"713","6","FFd6","0","0",0
"714","7","FFd6","0","0",0
"715","1","FFd7","0","0",0
"716","2","FFd7","0","0",0
"717","3","FFd7","0","0",0
"718","4","FFd7","0","0",0
"719","5","FFd7","0","0",0
"720","6","FFd7","0","0",0
"721","7","FFd7","0","0",0
"722","1","FFd8","0","0",0
"723","2","FFd8","0","0",0
"724","3","FFd8","0","0",0
"725","4","FFd8","0","0",0
"726","5","FFd8","0","0",0
"727","6","FFd8","0","0",0
"728","7","FFd8","0","0",0
"729","1","FFd9","0","0",0
"730","2","FFd9","0","0",0
"731","3","FFd9","0","0",0
"732","4","FFd9","0","0",0
"733","5","FFd9","0","0",0
"734","6","FFd9","0","0",0
"735","7","FFd9","0","0",0
"736","1","FFf1","0","0",0
"737","2","FFf1","0","0",0
"738","3","FFf1","0","0",0
"739","4","FFf1","0","0",0
"740","5","FFf1","0","0",0
"741","6","FFf1","0","0",0
"742","7","FFf1","0","0",0
"743","1","FFf2","0","0",0
"744","2","FFf2","0","0",0
"745","3","FFf2","0","0",0
"746","4","FFf2","0","0",0
"747","5","FFf2","0","0",0
"748","6","FFf2","0","0",0
"749","7","FFf2","0","0",0
"750","1","FFg1","0","0",0
"751","2","FFg1","0","0",0
"752","3","FFg1","0","0",0
"753","4","FFg1","0","0",0
"754","5","FFg1","0","0",0
"755","6","FFg1","0","0",0
"756","7","FFg1","0","0",0
"757","1","FFg2","0","0",0
"758","2","FFg2","0","0",0
"759","3","FFg2","0","0",0
"760","4","FFg2","0","0",0
"761","5","FFg2","0","0",0
